reg,acq,ymean2,ymean,report_constant,drop_singletons,N_clust,N_clust1,N_clustervars,sumweights,r2_within,ll0,ll,rmse,r2_a_within,F,r2_a,r2,mss,rss,tss_within,tss,df_r,df_a,num_singletons,converged,ic,df_m,rank,N_full,N_hdfe,N,mod,fespec,smpl,cmdlinejl,flinejl,cmdline,estat_cmd,predict,marginsnotok,absvars,title2,title,model,indepvars,depvar,title3,clustvar1,clustvar,vce,vcetype,properties,cmd,_r_z__CL,_r_z_abs__CL,_estimates_name
evreg1,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0102287188226121,-234710233.024545,-233071371.7868612,927.6648432602692,.0102280111648356,56.23834851354708,.1002650187188762,.1094991720004628,2960058294249.984,24072641955186.38,24321418910589.76,27032700249436.36,6541,290052,0,1,1,20,20,28263234,1,28263234,moderator,fe1,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort )),"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort,Absorbing 1 HDFE group,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg1
evreg2,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0070597813740079,-234710233.024545,-232278925.7096613,902.0270591694721,.0070593909066745,51.26889617495953,.14930958089083,.158060697105819,4272807446078.559,22759892803357.8,22921715100685.94,27032700249436.36,6541,290736,0,1,2,11,11,28263234,2,28263234,moderator,fe2,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( monthyearco )),"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  monthyearco) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.monthyearco,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg2
evreg3,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0161685658513396,-234710233.024545,-232121705.001535,897.0128836565706,.0161678624396774,47.79665545854834,.1587409066884689,.1673757441011097,4524618319311.664,22508081930124.7,22877986155831.29,27032700249436.36,6541,290080,0,1,10,20,20,28263234,2,28263234,moderator,fe3,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&( mont,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#c.monthyear) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.province_cohort#c.monthyearco,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg3
evreg4,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0104027849182156,-234710233.024545,-233061378.4526154,927.336979728158,.0104020773847647,56.29989577686302,.1009008909566316,.110128677217137,2977075520077.797,24055624729358.56,24308500835231.74,27032700249436.36,6541,290057,0,1,6,20,20,28263234,2,28263234,moderator,fe4,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( yeargov )),"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  yeargov) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.yeargov,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg4
evreg5,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0099895181011327,-234710233.024545,-233048957.6756739,926.9305453254055,.0099888102706644,55.32602082593921,.1016888347957454,.1109104729055423,2998209568578.758,24034490680857.6,24277006274477.81,27032700249436.36,6541,290118,0,1,2,20,20,28263234,2,28263234,moderator,fe5,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&fe( el,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#election_year) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.province_cohort#i.election_year,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg5
evreg6,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0126904111472933,-234710233.024545,-232935316.9178542,923.214113313802,.012689705243171,54.53983417232511,.1088777653532119,.1180315012917578,3190710194411.047,23841990055025.31,24148443734584.47,27032700249436.36,6541,290305,0,1,4,20,20,28263234,2,28263234,moderator,fe6,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&fe( el,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#election_year#yeargov) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.province_cohort#i.election_year#i.yeargov,Absorbing 2 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg6
evreg7,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0045548678830357,-234710233.024545,-231527373.4057038,878.3576480438139,.0045544764302696,52.18881438555686,.1933684878236759,.2016671658737615,5451608045218.758,21581092204217.6,21679841015769.65,27032700249436.36,6541,290764,0,1,14,11,11,28263234,3,28263234,moderator,fe7,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( monthyearco ) + fe( prov,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  monthyearco  province_cohort#c.monthyear) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.monthyearco i.province_cohort#c.monthyearco,Absorbing 3 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg7
evreg8,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0070663783110554,-234710233.024545,-232276322.0697037,901.944047889715,.0070659878462465,51.71251424810755,.1494661474822679,.158215803551458,4277000392130.273,22755699857306.09,22917644604076.81,27032700249436.36,6541,290741,0,1,12,11,11,28263234,3,28263234,moderator,fe8,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( monthyearco ) + fe( year,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  monthyearco  yeargov) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.monthyearco i.yeargov,Absorbing 3 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg8
evreg9,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0069836456574141,-234710233.024545,-232254467.1678552,901.2478605540839,.0069832551592196,51.03375156345091,.1507786510078554,.1595166378808752,4312165456631.586,22720534792804.77,22880322860187.55,27032700249436.36,6541,290802,0,1,29,11,11,28263234,3,28263234,moderator,fe9,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( monthyearco ) + fe( prov,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  monthyearco  province_cohort#election_year) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.monthyearco i.province_cohort#i.election_year,Absorbing 3 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg9
evreg10,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0066855657412227,-234710233.024545,-232142285.7644745,897.6807506676799,.0066851751231986,51.00698797077962,.1574877287962948,.1661622575881004,4491814502148.75,22540885747287.61,22692598607114.65,27032700249436.36,6541,290989,0,1,118,11,11,28263234,3,28263234,moderator,fe10,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( monthyearco ) + fe( prov,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  monthyearco  province_cohort#election_year#yeargov) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.monthyearco i.province_cohort#i.election_year#i.yeargov,Absorbing 3 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg10
evreg11,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0163771680190434,-234710233.024545,-232111403.3142093,896.6860704754416,.0163764647564003,48.36264923055843,.1593537952685703,.1679824905978488,4541020315485.406,22491679933950.95,22866162926143.22,27032700249436.36,6541,290085,0,1,13,20,20,28263234,3,28263234,moderator,fe11,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&( mont,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#c.monthyear  yeargov) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.province_cohort#c.monthyearco i.yeargov,Absorbing 3 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg11
evreg12,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0157279452381868,-234710233.024545,-232072016.4366011,895.4383196714408,.015727241509833,46.4028788320093,.1616917086615867,.1702982161109011,4603620629139.723,22429079620296.64,22787479855581.51,27032700249436.36,6541,290146,0,1,12,20,20,28263234,3,28263234,moderator,fe12,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&( mont,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#c.monthyear  province_cohort#election_year) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.province_cohort#c.monthyearco i.province_cohort#i.election_year,Absorbing 3 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg12
evreg13,676,,106.1940811089354,0,1,6542,6542,1,28263234,.016308228930133,-234710233.024545,-231999143.8789051,893.135523895099,.0163075256119649,46.99687737457538,.1659979137472271,.1745657295292243,4718983040187.703,22313717209248.66,22683647322758.6,27032700249436.36,6541,290333,0,1,13,20,20,28263234,3,28263234,moderator,fe13,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&( mont,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#c.monthyear  province_cohort#election_year#yeargov) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.province_cohort#c.monthyearco i.province_cohort#i.election_year#i.yeargov,Absorbing 3 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg13
evreg14,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0129048849588355,-234710233.024545,-233001743.9868211,925.3834845906716,.0129041792126489,53.01313099561613,.104684921586467,.1138759616731074,3078374737525.418,23954325511910.94,24267494739766.78,27032700249436.36,6541,290123,0,1,10,20,20,28263234,3,28263234,moderator,fe14,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( yeargov ) + fe( province,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  yeargov  province_cohort#election_year) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.yeargov i.province_cohort#i.election_year,Absorbing 3 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg14
evreg15,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0165132172442253,-234710233.024545,-232056424.9729618,894.9445657265896,.0165125140771945,45.91118951449165,.1626159574845826,.1712131242565755,4628353066797.508,22404347182638.85,22780526973490.03,27032700249436.36,6541,290151,0,1,17,20,20,28263234,4,28263234,moderator,fe23,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&( mont,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#c.monthyear  yeargov  province_cohort#election_year) vce(cluster ac_elec_yr)",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.province_cohort#c.monthyearco i.yeargov i.province_cohort#i.election_year,Absorbing 4 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg15
evreg16,676,,106.1940811089354,0,1,6542,6542,1,28263234,.0163082289558465,-234710233.024545,-231999143.8805501,893.1365775934481,.0163075256360189,46.99665693188185,.1659959458775898,.1745657294331413,4718983037590.32,22313717211846.04,22683647325991.99,27032700249436.36,6541,290399,0,1,15,20,20,28263234,4,28263234,moderator,fe25,Rural,"reg(df, f     , Vcov.cluster(:ac_elec_yr)       , maxiter=16000 , contrasts=Dict{Symbol, DummyCoding}(:treat=>DummyCoding(base=0),  :relative_year_bin_aux=>DummyCoding(base=5), ))",f = @formula(countk ~ relative_year_bin_aux + treat + relative_year_bin_aux&treat + relative_year_bin_aux + treat + relative_year_bin_aux&treat + wind_direction + av_wind_speed  + fe( unique_small_grid_id_cohort ) + fe( province_cohort )&( mont,"reghdfejl countk ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed if 1, absorb(unique_small_grid_id_cohort  province_cohort#c.monthyear  province_cohort#election_year  province_cohort#election_year#yeargov) vce(c",reghdfejl_estat,reghdfejl_p,Residuals SCore,i.unique_small_grid_id_cohort i.province_cohort#c.monthyearco i.province_cohort#i.election_year i.province_cohort#i.election_year#i.yeargov,Absorbing 4 HDFE groups,HDFE linear regression with Julia,ols,ib5.relative_year_bin_aux##ib0.treat##ib0.moderator wind_direction av_wind_speed,countk,Statistics cluster-robust,ac_elec_yr,ac_elec_yr,cluster,Robust,b V,reghdfejl,t,|t|,evreg16
